               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.038167,            0.034912,            0.011002,             0.90515,             0.90915,             0.93327,             0.43992,             0.03891,           0.0059116,          0.00064811,            0.003268,            0.003268,            0.003268
                  70,            0.038377,            0.033985,            0.011243,             0.90827,             0.88499,             0.91602,             0.42263,            0.039107,           0.0059503,          0.00047791,            0.003169,            0.003169,            0.003169
                  71,            0.038127,             0.03397,            0.011533,             0.86249,             0.87115,              0.8809,             0.43009,            0.036896,           0.0059531,          0.00039525,             0.00307,             0.00307,             0.00307
                  72,            0.037819,             0.03458,            0.011644,             0.90887,              0.8923,              0.9102,             0.43438,            0.038093,            0.006052,           0.0015596,            0.002971,            0.002971,            0.002971
                  73,            0.037404,            0.034359,            0.011053,             0.88449,              0.8808,             0.89617,             0.43552,            0.037472,           0.0060312,          0.00044436,            0.002872,            0.002872,            0.002872
                  74,            0.037453,            0.033401,            0.011333,             0.92152,             0.92357,              0.9356,             0.43923,            0.038241,           0.0059248,          0.00060855,            0.002773,            0.002773,            0.002773
                  75,            0.037817,            0.033717,            0.011034,             0.86039,             0.88659,             0.90873,             0.42077,             0.03788,           0.0063469,           0.0004039,            0.002674,            0.002674,            0.002674
                  76,            0.037998,            0.033825,            0.011291,             0.87398,             0.90887,             0.90845,             0.42493,            0.037339,           0.0060664,          0.00034475,            0.002575,            0.002575,            0.002575
                  77,            0.036849,            0.033691,            0.011005,             0.92024,             0.88775,             0.92318,             0.41072,            0.038751,           0.0059314,          0.00041924,            0.002476,            0.002476,            0.002476
                  78,            0.036804,            0.033608,            0.010576,             0.92081,             0.89676,             0.93348,             0.43628,            0.035996,           0.0059872,           0.0010105,            0.002377,            0.002377,            0.002377
                  79,            0.037564,            0.033487,            0.010351,             0.93223,             0.89152,             0.92031,             0.42256,             0.03864,           0.0060096,          0.00047742,            0.002278,            0.002278,            0.002278
                  80,            0.036556,            0.033861,            0.010134,             0.91622,             0.92617,             0.95302,             0.45752,            0.036406,           0.0056387,          0.00043788,            0.002179,            0.002179,            0.002179
                  81,            0.036831,            0.034456,            0.011247,             0.92031,             0.90564,             0.92249,             0.45139,            0.035761,           0.0058949,          0.00046631,             0.00208,             0.00208,             0.00208
                  82,            0.036474,            0.033332,            0.010073,             0.88278,             0.88395,              0.9013,             0.43042,            0.038849,           0.0058675,           0.0010539,            0.001981,            0.001981,            0.001981
                  83,            0.036155,            0.033556,            0.010003,             0.91148,             0.91766,              0.9419,             0.44006,            0.038018,           0.0057211,          0.00036051,            0.001882,            0.001882,            0.001882
                  84,            0.035986,            0.033427,           0.0092029,             0.92134,             0.92763,             0.95387,             0.45782,            0.036537,           0.0056736,          0.00034951,            0.001783,            0.001783,            0.001783
                  85,            0.036008,            0.032845,           0.0099125,             0.92475,             0.91664,             0.93665,              0.4595,            0.035036,           0.0056867,          0.00028135,            0.001684,            0.001684,            0.001684
                  86,            0.035924,            0.033233,            0.009684,             0.90243,             0.90991,             0.94287,             0.46403,            0.035987,           0.0058249,          0.00038858,            0.001585,            0.001585,            0.001585
                  87,            0.035625,             0.03339,           0.0096826,             0.90018,              0.9259,             0.94404,             0.47771,            0.034243,           0.0057553,           0.0001697,            0.001486,            0.001486,            0.001486
                  88,             0.03553,            0.032605,           0.0097283,             0.88465,             0.92146,             0.91479,             0.43368,            0.036216,           0.0058711,          0.00017042,            0.001387,            0.001387,            0.001387
